ID,Group,Date,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
155,O,01/06/2012,-23.83216663,-56.29461109,,2013-01-09T14:55:29Z,,,MO01062012,6/1/2012 18:21-18:41,6/1/2012 18:21-18:41,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T14:55:29Z
460,O,24/12/2012,-23.8314167,-56.29480555,,2013-01-09T15:11:40Z,,,MO24122012,24/12/2012 05:44,24/12/2012 05:44,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T15:11:40Z
461,O,24/12/2012,-23.83108336,-56.29505558,,2013-01-09T15:12:12Z,,,MO241220122,"24/12/2012 06:37-06:41
","24/12/2012 06:37-06:41
",,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T15:12:12Z
462,O,24/12/2012,-23.8308889,-56.29505558,,2013-01-09T15:12:36Z,,,MO241220123,24/12/2012 06:43-06:50,24/12/2012 06:43-06:50,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T15:12:36Z
463,O,24/12/2012,-23.83049998,-56.29508332,,2013-01-09T15:12:58Z,,,MO241220124,24/12/2012 06:53-06:54,24/12/2012 06:53-06:54,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T15:12:58Z
464,O,24/12/2012,-23.83025003,-56.29491669,,2013-01-09T15:14:11Z,,,MO241220125,"24/12/2012 06:57-06:58
","24/12/2012 06:57-06:58
",,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T15:14:11Z
517,O,29/12/2012,-23.83205557,-56.29638889,,2013-01-09T15:09:43Z,,,MO29120212,28/12/2012 17:28-17:58,28/12/2012 17:28-17:58,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T15:09:43Z
537,O,31/12/2012,-23.83244441,-56.2960278,,2013-01-09T15:10:10Z,,,MO31122012,31/12/12 06:20-06:44,31/12/12 06:20-06:44,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T15:10:10Z
28,F,06-Jan-13,-23.82126546,-56.28906922,,2013-01-09T14:55:03Z,,,MF060102013,6/1/2013. 09:19-09:20,6/1/2013. 09:19-09:20,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T14:55:03Z
227,O,07/01/2013,-23.83247224,-56.29608337,,2013-01-09T14:55:58Z,,,MO07012013,7/1/2013 6:58-6:59,7/1/2013 6:58-6:59,,Waypoint,user,,,,,,,,,,,SymbolOnly,,,2013-01-09T14:55:58Z
