ID,Date,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
467,05/03/2017,-26.61943643,-55.66792401,307.990051,2017-06-03T20:02:07Z,,,CSR05032017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T20:02:07Z
468,06/05/2017,-26.61820387,-55.67019543,305.597534,2017-05-06T14:49:26Z,,,CSR060520171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-06T14:49:26Z
469,06/05/2017,-26.61981722,-55.66911005,306.54361,2017-05-06T15:00:52Z,,,CSR060520172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-06T15:00:52Z
470,06/05/2017,-26.62028099,-55.66842198,311.931091,2017-05-06T16:01:30Z,,,CSR060520173,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-06T16:01:30Z
471,06/05/2017,-26.6224214,-55.67203182,309.281189,2017-05-06T16:28:42Z,,,CSR060520174,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-06T16:28:42Z
472,06/05/2017,-26.62135203,-55.67365103,305.580688,2017-05-06T16:39:24Z,,,CSR060520175,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-06T16:39:24Z
80,07/05/2017,-26.63072384,-55.66193732,268.6875,2017-05-07T15:58:30Z,,,CC07052017,200M 90DEGREES,200M 90DEGREES,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-07T15:58:30Z
103,09/05/2017,-26.62504845,-55.66272229,286.858887,2017-05-09T19:56:47Z,,,CC09052017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-09T19:56:47Z
104,09/05/2017,-26.6254564,-55.66252615,292,2017-05-09T20:25:21Z,,,CC090520172,"One adult
","One adult
",,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-09T20:25:21Z
105,09/05/2017,-26.62591355,-55.66111095,292.648743,2017-05-09T20:45:56Z,,,CC090520173,75ME,75ME,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-09T20:45:56Z
473,09/05/2017,-26.617736,-55.66684795,301.855103,2017-05-09T15:59:00Z,,,CSR09052017,S100M,S100M,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-09T15:59:00Z
119,10/05/2017,-26.62699523,-55.6612293,266.858276,2017-05-10T10:26:52Z,,,CC10052017,5MSO,5MSO,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-10T10:26:52Z
120,10/05/2017,-26.62790434,-55.66193414,285.216217,2017-05-10T11:15:11Z,,,CC100520172,300MSW,300MSW,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-10T11:15:11Z
121,10/05/2017,-26.62599301,-55.66188804,283.611816,2017-05-10T12:50:35Z,,,CC100520173,800M 280DEGREES,800M 280DEGREES,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-10T12:50:35Z
122,10/05/2017,-26.62733026,-55.66650672,277.076599,2017-05-10T16:21:50Z,,,CC100520174,200M S,200M S,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-10T16:21:50Z
123,10/05/2017,-26.62590701,-55.66586567,274.156464,2017-05-10T16:29:20Z,,,CC100520175,5MSE,5MSE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-10T16:29:20Z
124,10/05/2017,-26.62588572,-55.66592971,282.661865,2017-05-11T17:04:40Z,,,CC1005201762,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T17:04:40Z
125,10/05/2017,-26.62601598,-55.66605703,283.159668,2017-05-11T17:03:48Z,,,CC1005201771,5M 160D,5M 160D,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T17:03:48Z
126,10/05/2017,-26.62666759,-55.66555344,283.400879,2017-05-11T17:02:32Z,,,CC1005201781,250M 175D,250M 175D,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T17:02:32Z
127,10/05/2017,-26.6270762,-55.6679013,283.432831,2017-05-11T17:01:42Z,,,CC1005201791,250M,250M,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T17:01:42Z
474,10/05/2017,-26.61909873,-55.66272715,298.368042,2017-05-10T13:42:18Z,,,CSR10052017,500M SE,500M SE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-10T13:42:18Z
143,11/05/2017,-26.63109298,-55.67044999,273.719543,2017-05-11T10:00:13Z,,,CC11052017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T10:00:13Z
144,11/05/2017,-26.63048454,-55.67057261,280.360962,2017-05-11T10:16:04Z,,,CC110520172,15M,15M,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T10:16:04Z
145,11/05/2017,-26.62808924,-55.66806852,290.115173,2017-05-11T12:31:59Z,,,CC110520173,400M E,400M E,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T12:31:59Z
478,11/05/2017,-26.61719218,-55.66847714,310.188202,2017-05-11T15:10:53Z,,,CSR11052017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-11T15:10:53Z
482,13/05/2017,-26.61911918,-55.67038637,311.5849,2017-05-13T13:40:06Z,,,CSR130520171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-13T13:40:06Z
197,14/05/2017,-26.62294317,-55.66491743,280.967224,2017-05-14T20:22:32Z,,,CC1405201731,200M E,200M E,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-14T20:22:32Z
483,14/05/2017,-26.62123988,-55.67258259,305.680237,2017-05-14T13:47:19Z,,,CSR140520171,75M N,75M N,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-14T13:47:19Z
212,15/05/2017,-26.62242685,-55.66812979,287.372253,2017-05-17T12:16:01Z,,,CC1505201731,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-17T12:16:01Z
213,15/05/2017,-26.62266296,-55.66788596,286.968781,2017-05-17T12:16:55Z,,,CC1505201741,10MW,10MW,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-17T12:16:55Z
214,15/05/2017,-26.62268895,-55.66744784,285.258423,2017-05-17T12:18:16Z,,,CC1505201751,15M70DE,15M70DE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-17T12:18:16Z
215,15/05/2017,-26.62288617,-55.66669456,280.773376,2017-05-17T13:25:22Z,,,CC1505201761,25M350DE,25M350DE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-17T13:25:22Z
274,18/05/2017,-26.63077497,-55.67018302,281.351166,2017-05-18T11:37:35Z,,,CC180520171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-18T11:37:35Z
388,28/05/2017,-26.62766352,-55.66119678,284.773682,2017-05-28T19:41:37Z,,,CC28052017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-28T19:41:37Z
389,28/05/2017,-26.62440942,-55.66146903,294.908264,2017-05-28T16:46:17Z,,,CC280520171,70M E,70M E,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-28T16:46:17Z
390,28/05/2017,-26.62748298,-55.66089462,286.653839,2017-05-28T19:47:54Z,,,CC280520172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-28T19:47:54Z
391,28/05/2017,-26.62716723,-55.65990589,288.918152,2017-05-28T20:06:27Z,,,CC280520173,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-28T20:06:27Z
392,28/05/2017,-26.62547803,-55.66456103,269.009003,2017-05-28T19:43:29Z,,,CC280520174,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-28T19:43:29Z
393,28/05/2017,-26.62749304,-55.65998803,293.297485,2017-05-28T21:13:03Z,,,CC2805201741,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-28T21:13:03Z
394,28/05/2017,-26.62787198,-55.66585603,260.901306,2017-05-28T21:03:39Z,,,CC280520175,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-28T21:03:39Z
410,29/05/2017,-26.630594,-55.66991799,283.136688,2017-05-30T11:30:03Z,,,CC2905201721,SS,SS,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-30T11:30:03Z
427,30/05/2017,-26.62967987,-55.66979779,271.795654,2017-05-30T11:06:59Z,,,CC300520171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-30T11:06:59Z
428,30/05/2017,-26.6308722,-55.66372267,273.017792,2017-05-30T14:16:54Z,,,CC300520172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-30T14:16:54Z
429,30/05/2017,-26.63057598,-55.66996702,283.008514,2017-05-30T11:29:02Z,,,CC3005201721,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-30T11:29:02Z
430,30/05/2017,-26.63065704,-55.66377296,273.436768,2017-05-30T14:18:04Z,,,CC300520173,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-30T14:18:04Z
431,30/05/2017,-26.63042142,-55.66357138,273.488831,2017-05-30T14:18:40Z,,,CC300520174,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-05-30T14:18:40Z
16,02/06/2017,-26.62171572,-55.6648326,291.363403,2017-06-02T13:39:57Z,,,CC020620171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-02T13:39:57Z
17,02/06/2017,-26.62279598,-55.6640012,296.184601,2017-06-02T14:20:49Z,,,CC0206201721,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-02T14:20:49Z
18,02/06/2017,-26.63091696,-55.66999401,281.866394,2017-06-03T10:40:20Z,,,CC0206201751,SS,SS,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T10:40:20Z
24,03/06/2017,-26.63090296,-55.67007104,281.818298,2017-06-03T10:39:51Z,,,CC03062017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T10:39:51Z
25,03/06/2017,-26.63077002,-55.66946402,244.839966,2017-06-03T11:38:30Z,,,CC030620171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T11:38:30Z
26,03/06/2017,-26.63053701,-55.66983098,280.555786,2017-06-03T11:03:29Z,,,CC030620173,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T11:03:29Z
463,03/06/2017,-26.61981756,-55.66845006,310.060364,2017-06-03T20:16:24Z,,,CSR03062017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T20:16:24Z
464,03/06/2017,-26.61873789,-55.67036692,310.690369,2017-06-03T20:08:48Z,,,CSR030620171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T20:08:48Z
465,03/06/2017,-26.61913997,-55.66783307,310.418976,2017-06-03T20:11:01Z,,,CSR030620172,4:15PM 6/3/17,4:15PM 6/3/17,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T20:11:01Z
466,03/06/2017,-26.61864577,-55.66946193,312.172241,2017-06-03T20:11:16Z,,,CSR0306201721,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-03T20:11:16Z
1,06/06/2017,-26.63054254,-55.6671704,286.470917,2017-06-06T11:52:29Z,,,C0606201721,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-06T11:52:29Z
60,06/06/2017,-26.62803677,-55.66110022,283.569275,2017-06-06T20:35:07Z,,,CC06062017,06/06/2017,06/06/2017,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-06T20:35:07Z
61,06/06/2017,-26.63126363,-55.67016567,252.262253,2017-06-06T10:59:47Z,,,CC060620171,10ME,10ME,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-06T10:59:47Z
62,06/06/2017,-26.623575,-55.66772687,284.797577,2017-06-06T17:16:59Z,,,CC060620172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-06T17:16:59Z
63,06/06/2017,-26.63049912,-55.66619122,272.421875,2017-06-06T12:23:54Z,,,CC0606201741,40MN,40MN,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-06T12:23:54Z
64,06/06/2017,-26.63248798,-55.66136601,269.729767,2017-06-07T12:12:27Z,,,CC0606201751,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-07T12:12:27Z
81,07/06/2017,-26.62741098,-55.66113099,278.484406,2017-06-07T10:33:04Z,,,CC070620171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-07T10:33:04Z
82,07/06/2017,-26.62746596,-55.66086796,282.442627,2017-06-07T11:13:53Z,,,CC0706201721,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-07T11:13:53Z
83,07/06/2017,-26.62753101,-55.66070602,282.866364,2017-06-07T11:36:01Z,,,CC0706201741,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-06-07T11:36:01Z
202,14/07/2017,-26.62023515,-55.66291725,291.960876,2017-07-14T17:01:56Z,,,CC14072017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T17:01:56Z
203,14/07/2017,-26.62799536,-55.6610237,220.908478,2017-07-14T17:06:54Z,,,CC140720171,18M HIGH MO,18M HIGH MO,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T17:06:54Z
205,14/07/2017,-26.62801866,-55.66135445,271.467041,2017-07-14T17:26:36Z,,,CC140720172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T17:26:36Z
484,14/07/2017,-26.62124005,-55.66967156,300.31308,2017-07-14T14:46:30Z,,,CSR14072017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T14:46:30Z
485,14/07/2017,-26.62096001,-55.671013,300.204559,2017-07-14T14:47:41Z,,,CSR140720172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T14:47:41Z
486,14/07/2017,-26.62144499,-55.67154902,293.81723,2017-07-14T14:49:38Z,,,CSR140720173,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T14:49:38Z
487,14/07/2017,-26.62154599,-55.67161499,293.038605,2017-07-14T14:50:09Z,,,CSR140720174,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T14:50:09Z
488,14/07/2017,-26.62086337,-55.67290253,297.05835,2017-07-14T15:12:11Z,,,CSR140720175,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T15:12:11Z
489,14/07/2017,-26.62079833,-55.67299515,295.199463,2017-07-14T15:13:39Z,,,CSR140720176,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T15:13:39Z
490,14/07/2017,-26.61845416,-55.66401679,289.03479,2017-07-14T16:39:58Z,,,CSR140720177,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-14T16:39:58Z
216,15/07/2017,-26.62237714,-55.66293896,274.211182,2017-07-15T20:14:46Z,,,CC15072017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-15T20:14:46Z
217,15/07/2017,-26.631126,-55.67055903,290.380341,2017-07-15T10:09:27Z,,,CC150720171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-15T10:09:27Z
230,15/07/2017,-26.62660673,-55.66205886,281.762085,2017-07-15T19:28:56Z,,,CC157201731,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-15T19:28:56Z
491,15/07/2017,-26.61991068,-55.66857227,299.513519,2017-07-15T13:22:55Z,,,CSR15072017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-15T13:22:55Z
239,16/07/2017,-26.6275388,-55.66126543,265.048431,2017-07-16T10:12:24Z,,,CC160720171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-16T10:12:24Z
240,16/07/2017,-26.62708526,-55.6611858,273.489746,2017-07-16T11:29:11Z,,,CC160720172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-16T11:29:11Z
241,16/07/2017,-26.62960703,-55.66065104,276.021118,2017-07-16T15:59:21Z,,,CC160720173,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-16T15:59:21Z
242,16/07/2017,-26.6288929,-55.66098304,237.161392,2017-07-16T16:01:30Z,,,CC160720174,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-16T16:01:30Z
498,19/07/2017,-26.61790347,-55.6687705,317.512146,2017-07-19T14:55:09Z,,,CSR19072017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-19T14:55:09Z
499,19/07/2017,-26.61679689,-55.66885105,224.599808,2017-07-19T13:22:54Z,,,CSR190720172,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-19T13:22:54Z
301,20/07/2017,-26.62451444,-55.66094843,178.956375,2017-07-21T16:10:32Z,,,CC200720171,150MR,150MR,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-21T16:10:32Z
309,22/07/2017,-26.62963822,-55.67017321,273.295441,2017-07-22T15:25:17Z,,,CC22072017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-22T15:25:17Z
310,22/07/2017,-26.6304552,-55.66628166,205.797058,2017-07-22T15:04:31Z,,,CC220720171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-07-22T15:04:31Z
